timestamp,steering,throttle,speech_output
2025-04-08 20:13:56,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:13:59,1.000,0.880,"Right 25.0 degrees, Accelerate 26.4 kilometers per hour"
2025-04-08 20:14:02,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:05,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:07,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:10,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:13,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:16,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:18,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:21,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:24,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:26,1.000,0.971,"Right 25.0 degrees, Accelerate 29.1 kilometers per hour"
2025-04-08 20:14:29,1.000,0.843,"Right 25.0 degrees, Accelerate 25.3 kilometers per hour"
2025-04-08 20:14:32,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:35,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:37,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:40,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:43,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:45,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:48,1.000,0.708,"Right 25.0 degrees, Accelerate 21.2 kilometers per hour"
2025-04-08 20:14:51,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:54,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:56,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:14:59,1.000,0.933,"Right 25.0 degrees, Accelerate 28.0 kilometers per hour"
2025-04-08 20:15:02,1.000,0.731,"Right 25.0 degrees, Accelerate 21.9 kilometers per hour"
2025-04-08 20:15:05,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:07,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:10,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:13,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:15,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:18,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:21,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:24,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:26,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:29,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:31,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 20:15:32,1.000,0.665,"Right 25.0 degrees, Accelerate 19.9 kilometers per hour"
2025-04-08 20:15:33,1.000,0.837,"Right 25.0 degrees, Accelerate 25.1 kilometers per hour"
timestamp,steering,throttle,speech_output
2025-04-08 21:07:38,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:38,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:39,1.000,0.431,"Right 25.0 degrees, Accelerate 12.9 kilometers per hour"
2025-04-08 21:07:40,1.000,0.890,"Right 25.0 degrees, Accelerate 26.7 kilometers per hour"
2025-04-08 21:07:40,1.000,0.786,"Right 25.0 degrees, Accelerate 23.6 kilometers per hour"
2025-04-08 21:07:41,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:41,1.000,0.956,"Right 25.0 degrees, Accelerate 28.7 kilometers per hour"
